,0
Pdcd1,1.0
Bcl2a1b,0.3235729953755945
Actg1,0.31720509714872347
Coro1a,0.3166193894652753
H2-D1,0.3080502907943775
Rgs16,0.3075996596275263
Ostf1,0.301213845541711
Lck,0.30070566684738664
Rilpl2,0.29863729552472323
S100a4,0.29753893929024655
Ptprcap,0.2936203938479524
Myl12a,0.29228214698300836
Pfn1,0.2867161565317692
Tmsb4x,0.2862866291251742
Cotl1,0.28562024145384607
Cfl1,0.2856125141150996
Cd52,0.283863395456815
Srp14,0.2835521308004364
Bcl2a1d,0.2824011456057683
Capzb,0.27769183791653
Serf2,0.2770268719346389
Arpc2,0.27702035491145033
Vamp8,0.2767055520918177
Rac2,0.2757824323148347
Calm1,0.27564277472980786
Ucp2,0.2754082673272744
Rap1a,0.2741785754950523
Zap70,0.2737754943006087
Myl6,0.27339207225561146
Ppp1ca,0.2717127305979519
Cox8a,0.27165992181131743
Cd2,0.2714624311015367
Oaz1,0.26852714539558287
Gapdh,0.26818293745690375
Actr3,0.26631400587201204
Stx11,0.26373383820183116
Clic1,0.26324631794912373
Cox17,0.26230652662297865
Sh3bgrl3,0.2600923914460652
Selk,0.259534085830253
Hif1a,0.2594323479433371
Arpc5,0.258857898062099
Ndufa13,0.2586531886409959
Arpc3,0.258141451362181
Cox6c,0.25718602180218947
Cd3g,0.2569244114657605
Arhgdib,0.25632281127691225
Nkg7,0.2561766000668386
Ndufa4,0.2544270420434934
Ifng,0.25393202807269377
Sept7,0.2538209170500063
Arpc1b,0.25210320330379254
Abracl,0.2516470340267157
Lcp1,0.25083007490616255
Rps15a,0.2497190780848244
Samsn1,0.24890023233985512
Sept1,0.24849229603247783
Fxyd5,0.24824497852044555
Cd3d,0.2480067933569024
Atp5l,0.2479744483212402
Itm2b,0.24733952752448476
Ctsb,0.24712521255674896
Atp5j,0.24589167128561176
Batf,0.245793930371788
Anxa2,0.24533679276821502
Spcs1,0.24512873114196004
Arl6ip1,0.24455520287365876
Cap1,0.24431755313641862
Pkm,0.2441747659315089
Gna13,0.24407487214940787
Atp5e,0.2435017126465806
Cox4i1,0.2428277811786426
Uqcrh,0.24267642745865714
Prr13,0.24258960171206786
Ptpn22,0.24228202653580083
H3f3b,0.2421399818219628
Gdi2,0.24134333439185254
